Predicted Class	Path
Package	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjC3ZUAU.jpg
Lot Code	dependencies/dataset\Sorted_Images_I\test\00P2E00001gkqykUAA.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjBYCUA2.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001hE3uXUAS.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjCZZUA2.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001hE3K5UAK.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjBhlUAE.jpg
Lot Code	dependencies/dataset\Sorted_Images_I\test\00P2E00001gkrFHUAY.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjCZXUA2.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjBYDUA2.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001hE3Q6UAK.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjCPJUA2.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjBW6UAM.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjQqMUAU.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjCZaUAM.jpg
Lot Code	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjC3FUAU.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjCZYUA2.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjC8gUAE.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjCT6UAM.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjBWBUA2.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjEp7UAE.jpg
Product Defect	dependencies/dataset\Sorted_Images_I\test\00P2E00001gjBYHUA2.jpg
