Predicted Class	Path
front ear tearing	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjC8gUAE.jpg
Other	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjBWBUA2.jpg
Other	dependencies/dataset\Sorted_Images_II\test\00P2E00001hE3uXUAS.jpg
back ear tearing	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjBYCUA2.jpg
back ear tearing	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjCPJUA2.jpg
back ear tearing	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjBYHUA2.jpg
Other	dependencies/dataset\Sorted_Images_II\test\00P2E00001hE3K5UAK.jpg
back ear tearing	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjCT6UAM.jpg
tape tearing	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjBhlUAE.jpg
back ear tearing	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjBYDUA2.jpg
Other	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjCZXUA2.jpg
back ear tearing	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjCZYUA2.jpg
back ear tearing	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjCZaUAM.jpg
Other	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjCZZUA2.jpg
Other	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjEp7UAE.jpg
tape tearing	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjBW6UAM.jpg
front ear tearing	dependencies/dataset\Sorted_Images_II\test\00P2E00001gjQqMUAU.jpg
Other	dependencies/dataset\Sorted_Images_II\test\00P2E00001hE3Q6UAK.jpg
